rank,priority,status,provider,signup_url,docs_url,provider_type,auth_required,current_free_offering,free_limit_summary,free_limit_confidence,coding_model_candidates,api_style,openai_compatible,base_url,omniroute_support_status,omniroute_provider_id,setup_time_minutes_est,setup_difficulty,signup_friction,region_friction,requires_phone,requires_credit_card,expected_6mo_value_eur,setup_value_eur_per_hour,coding_value_reason,risks_or_caveats,next_action,last_researched,source_urls
1,P0,already_working,OpenCode Free,local,local,no_auth,no,working,see_docs,medium,omniroute/auto/coding:free,openai_compatible,yes,http://127.0.0.1:20128/v1,built_in_working,opencode,5,low,low,none,no,no,200,2400.0,Zero new signup and already provides a fast free coding lane for agent,Single backend so far; catalog can overstate availability; needs perio,Keep enabled; add to Control Room/OpenCode allowlist; retest daily wit,2026-07-05,local
2,P0,already_working,Groq,https://console.groq.com/,https://console.groq.com/docs/models,free_tier,api_key,working,see_docs,high,omniroute/groq/llama-3.3-70b-versatile,openai_compatible,yes,https://api.groq.com/openai/v1,connected_needs_periodic_smoke,groq,5,low,low,none,unknown,no,140,1680.0,Very high speed and useful free daily quotas make it strong for codin,Free limits vary by organization and can change; not all models are bes,Run smoke tests for gpt-oss-20b; qwen3-32b; llama-3.3-70b; ke,2026-07-05,https://console.groq.com/docs/models
3,P0,already_working,OpenRouter,https://openrouter.ai/,https://openrouter.ai/docs/quickstart,aggregator,api_key,working,see_docs,medium,omniroute/openrouter/free,openai_compatible,yes,https://openrouter.ai/api/v1,connected_needs_periodic_smoke,openrouter,5,low,low,none,unknown,no,110,1320.0,Best single signup for broad free-model discovery; useful when one free,Free router may change backend behavior; model quality and rate limits c,Smoke test openrouter/free; later add specific free model IDs only if,2026-07-05,https://openrouter.ai/openrouter/free
4,P0,needs_verification,MiMoCode Free,https://mimo.mi.com/,local,no_auth,no,free_tier_listed_needs_check,unknown,unknown,omniroute/mcode/mimo-auto,custom,partial,http://127.0.0.1:20128/v1,built_in_needs_exact_model_smoke,mimocode,6,low,low,possible,unknown,no,110,1100.0,If stable, gives a second no-signup free coding route beside OpenCode.,Conflicting UI/test signals; must verify exact /v1/chat/complet,Run three exact smoke tests for mcode/mimo-auto and only then allowlist.,2026-07-05,https://mimo.mi.com/
5,P1,candidate,Cerebras Inference,https://cloud.cerebras.ai/,https://inference-docs.cerebras.ai/models/overview,free_tier,api_key,free_tier_listed_needs_check,see_docs,high,gpt-oss-120b,openai_compatible,yes,https://api.cerebras.ai/v1,provider_present_signup_needed,cerebras,10,low,low,none,unknown,no,120,720.0,Fast inference and large open models are valuable for agent planning, ref,Exact free limits may depend on account; model list changes.,Create key; add OmniRoute connection; import free models; smoke test g,2026-07-05,https://inference-docs.cerebras.ai/models/overview
6,P1,needs_verification,Google AI Studio / Gemini API,https://aistudio.google.com/,https://ai.google.dev/gemini-api/docs,free_tier,api_key,free_tier_listed_needs_check,see_docs,medium,imported Gemini Flash/Flash-Lite/Pro candidates,native_sdk,partial,unknown,connected_needs_model_import_and_smoke,gemini,10,low,low,possible,unknown,no,100,600.0,Useful for general code explanation, debugging, and longish reasoning when,Model names/quotas change frequently; region support can vary; OmniRoute,Import free models from /models; then smoke test smallest Flash/Flash-L,2026-07-05,https://aistudio.google.com/
17,P2,needs_verification,DeepInfra,https://deepinfra.com/,https://docs.deepinfra.com/quickstart,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,Qwen coder models,openai_compatible,yes,https://api.deepinfra.com/v1/openai,provider_present_signup_needed,deepinfra,15,medium,medium,unknown,unknown,unknown,50,200.0,Broad open-model coverage could be useful if free credits/quota exist.,Free availability unclear; avoid until confirmed no card/paid commitment.,Verify current free credits and credit-card requirement before adding to OmniRoute.,2026-07-05,https://deepinfra.com/
18,P2,needs_verification,Qoder,unknown,unknown,subscription_backed,oauth,free_tier_listed_needs_check,unknown,unknown,provider coding models if exposed,unknown,unknown,unknown,free_tier_visible_needs_research,qoder,20,medium,medium,unknown,unknown,unknown,45,135.0,Coding-focused provider/tool; could help repo tasks if free tier exists.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify free tier and auth flow.,2026-07-05,local
19,P2,needs_verification,Antigravity CLI,unknown,unknown,subscription_backed,oauth,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,agy,20,medium,medium,unknown,unknown,unknown,45,135.0,Coding-agent tool route, potentially relevant if free tier exists.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify free tier and supported auth; avoid paid subscriptions.,2026-07-05,local
20,P2,candidate,Featherless AI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,featherless-ai,20,medium,medium,unknown,unknown,unknown,45,135.0,Broad open-model service could expose coding models; free details need verification.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify free tier and exact coder models.,2026-07-05,local
21,P2,needs_verification,Hyperbolic,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,hyperbolic,20,medium,medium,unknown,unknown,unknown,45,135.0,Inference provider likely useful if it exposes Qwen/DeepSeek/Llama with,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify current free tier and OpenAI compatibility.,2026-07-05,local
22,P2,needs_verification,Qwen Web,https://chat.qwen.ai/,unknown,free_models,web_cookie,free_tier_listed_needs_check,unknown,unknown,Qwen Web chat/code candidates if exposed,custom,partial,http://127.0.0.1:20128/v1,web_route_visible_needs_manual_setup,qwen-web,20,medium,medium,possible,unknown,unknown,45,135.0,Qwen web/free routes can be strong for coding if OmniRoute web-cookie flow,Cookie/session automation can break and may violate provider expectations; avoid unless explicitly,Only use if web-cookie setup is acceptable and model smoke test passes.,2026-07-05,https://chat.qwen.ai/
23,P2,needs_verification,Blackbox AI,https://www.blackbox.ai/,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,blackbox,20,medium,medium,unknown,unknown,unknown,45,135.0,Coding-assistant provider; may have free or freemium coding models.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify API/free tier and whether it is API-key vs web-only.,2026-07-05,https://www.blackbox.ai/
24,P2,needs_verification,Gemini Business / Enterprise,https://aistudio.google.com/,https://ai.google.dev/gemini-api/docs,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,gemini-business,20,medium,medium,unknown,unknown,unknown,45,135.0,Coding-focused provider/tool by name; could be valuable if it has a real free,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify free tier/auth model and whether it supports unattended coding-agent use.,2026-07-05,https://aistudio.google.com/
25,P2,needs_verification,Cohere,https://dashboard.cohere.com/,https://docs.cohere.com/docs/rate-limits,trial_credit,api_key,free_tier_listed_needs_check,see_docs,medium,command-a-code-like candidates,openai_compatible,yes,https://api.cohere.ai/compatibility/v1,provider_present_signup_needed,cohere,15,medium,medium,possible,unknown,unknown,45,180.0,Potentially useful for code-support tasks and as another OpenAI-compatible backup,Trial/free offering may be too limited; coding-model quality vs Groq/C,Add only after higher-value providers; verify no credit card and smoke test a,2026-07-05,https://dashboard.cohere.com/
26,P2,needs_verification,Inference.net,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,inference-net,20,medium,medium,unknown,unknown,unknown,40,120.0,Inference aggregator/provider candidate; could expose open coding models.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify official docs/free quota.,2026-07-05,local
27,P2,needs_verification,Baseten,https://www.baseten.co/,https://docs.baseten.co/,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,baseten,25,medium,medium,unknown,unknown,unknown,40,96.0,Inference hosting may expose useful open models, but free usage is uncertain.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify starter credits/no card; not first priority.,2026-07-05,https://www.baseten.co/
28,P2,needs_verification,Pollinations AI,https://pollinations.ai/,https://github.com/pollinations/pollinations,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,pollinations,10,medium,medium,unknown,unknown,unknown,35,210.0,May offer free simple text model access; potentially useful for low-stakes fallback,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify chat/code capability and rate limits.,2026-07-05,https://pollinations.ai/
29,P2,needs_verification,LLM7.io,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,llm7,10,medium,medium,unknown,unknown,unknown,35,210.0,Could be low-friction free model API if current service is working.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify official source and smoke test exact model.,2026-07-05,local
30,P2,needs_verification,MonsterAPI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,monsterapi,20,medium,medium,unknown,unknown,unknown,35,105.0,Inference provider could expose open coding models if free credits exist.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify current credits/no-card.,2026-07-05,local
31,P2,needs_verification,Nebius AI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,nebius,25,medium,medium,unknown,unknown,unknown,45,108.0,Inference/cloud provider that may expose strong open models.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify free credits and OpenAI compatibility.,2026-07-05,local
32,P2,needs_verification,Nous Research,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,nous-research,20,medium,medium,unknown,unknown,unknown,35,105.0,Open-model provider; possible coding/reasoning value.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify current API/free access.,2026-07-05,local
33,P2,needs_verification,Novita AI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,novita,20,medium,medium,unknown,unknown,unknown,35,105.0,Inference provider; may expose LLMs and free credits.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify text chat support and no-card free quota.,2026-07-05,local
34,P2,needs_verification,nScale,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,nscale,20,medium,medium,unknown,unknown,unknown,35,105.0,Inference/cloud provider; possible open-model credits.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify details before signup.,2026-07-05,local
35,P2,needs_verification,Scaleway AI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,scaleway,25,medium,medium,unknown,unknown,unknown,35,84.0,EU cloud/inference provider; useful if free credits exist and data locality,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify free credits and no-card requirement.,2026-07-05,local
36,P2,needs_verification,SiliconFlow,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,siliconflow,25,medium,medium,possible,unknown,unknown,45,108.0,Chinese inference platform may expose strong Qwen/DeepSeek models.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify region/phone/card requirements first.,2026-07-05,local
37,P2,needs_verification,TokenRouter,unknown,unknown,aggregator,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,tokenrouter,15,medium,medium,unknown,unknown,unknown,35,140.0,Router/aggregator may expose free model routes.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify official docs/free quota; smoke test exact model.,2026-07-05,local
38,P2,needs_verification,Puter AI,unknown,unknown,free_models,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,puter,15,medium,medium,unknown,unknown,unknown,35,140.0,Puter AI may provide free app-platform model access; could be useful fallback.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify API terms and coding model quality.,2026-07-05,local
39,P2,needs_verification,LMArena,https://lmarena.ai/,unknown,free_models,web_cookie,free_tier_listed_needs_check,unknown,unknown,LMArena chat/code candidates if exposed,custom,partial,http://127.0.0.1:20128/v1,web_route_visible_needs_manual_setup,lmarena,15,medium,medium,possible,unknown,unknown,35,140.0,Can be useful for one-off model comparison/free web access, but not ideal,Cookie/session automation can break and may violate provider expectations; avoid unless explicitly,Verify terms and reliability before automation.,2026-07-05,https://lmarena.ai/
40,P2,needs_verification,t3.chat,https://t3.chat/,unknown,free_models,web_cookie,free_tier_listed_needs_check,unknown,unknown,t3.chat chat/code candidates if exposed,custom,partial,http://127.0.0.1:20128/v1,web_route_visible_needs_manual_setup,t3-web,20,medium,medium,possible,unknown,unknown,35,105.0,May provide additional free web-model capacity, but less suitable for unattended coding,Cookie/session automation can break and may violate provider expectations; avoid unless explicitly,Defer until API-key free tiers are done; if used, set up manually,2026-07-05,https://t3.chat/
41,P2,needs_verification,ZenMux Free Web,unknown,unknown,free_models,web_cookie,free_tier_listed_needs_check,unknown,unknown,ZenMux Free Web chat/code candidates if exposed,custom,partial,http://127.0.0.1:20128/v1,web_route_visible_needs_manual_setup,zenmux-free,20,medium,medium,possible,unknown,unknown,35,105.0,May provide additional free web-model capacity, but less suitable for unattended coding,Cookie/session automation can break and may violate provider expectations; avoid unless explicitly,Defer until API-key free tiers are done; if used, set up manually,2026-07-05,local
42,P2,needs_verification,Pioneer AI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,pioneer,10,medium,medium,unknown,unknown,unknown,30,180.0,OmniRoute marks it Chat and free tier; could be a quick additional chat,Could be paid-only after signup, region-locked, non-coding, or unstable,Smoke test exact model before allowlisting.,2026-07-05,local
43,P3,needs_verification,AI21 Labs,https://studio.ai21.com/,https://docs.ai21.com/,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,ai21,20,medium,medium,unknown,unknown,unknown,25,75.0,General LLM provider; coding value lower than Groq/OpenRouter unless,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify current free credits and model list before adding.,2026-07-05,https://studio.ai21.com/
44,P3,needs_verification,Arcee AI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,arcee-ai,20,medium,medium,unknown,unknown,unknown,25,75.0,Model provider; coding value uncertain.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify current free credits and OpenAI compatibility.,2026-07-05,local
45,P3,needs_verification,FriendliAI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,friendliai,20,medium,medium,unknown,unknown,unknown,25,75.0,Inference provider with possible open models; coding value uncertain.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify no-card/free credits.,2026-07-05,local
46,P3,needs_verification,Reka,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,reka,20,medium,medium,unknown,unknown,unknown,25,75.0,General LLM provider; coding value uncertain.,Could be paid-only after signup, region-locked, non-coding, or unstable,Verify if free API exists.,2026-07-05,local
47,P3,needs_verification,360 AI,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,360ai,25,medium,medium,possible,unknown,unknown,20,48.0,"May expose capable Chinese open/closed models, but signup and region friction",Could be paid-only after signup, region-locked, non-coding, or unstable,Defer until low-friction providers are exhausted; verify phone/region/card,2026-07-05,local
48,P3,needs_verification,Api.airforce,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,api-airforce,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
49,P3,needs_verification,Baichuan,https://platform.baichuan-ai.com/,https://platform.baichuan-ai.com/docs,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,baichuan,25,medium,medium,possible,unknown,unknown,20,48.0,"May expose capable Chinese open/closed models, but signup and region friction",Could be paid-only after signup, region-locked, non-coding, or unstable,Defer until low-friction providers are exhausted; verify phone/region/card,2026-07-05,https://platform.baichuan-ai.com/
50,P3,needs_verification,Baidu ERNIE,https://cloud.baidu.com/product/wenxinworkshop,https://cloud.baidu.com/doc/WENXINWORKSHOP/index.html,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,baidu,25,medium,medium,possible,unknown,unknown,20,48.0,"May expose capable Chinese open/closed models, but signup and region friction",Could be paid-only after signup, region-locked, non-coding, or unstable,Defer until low-friction providers are exhausted; verify phone/region/card,2026-07-05,https://cloud.baidu.com/product/wenxinworkshop
51,P3,needs_verification,BazaarLink,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,bazaarlink,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
52,P3,needs_verification,BluesMinds,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,bluesminds,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
53,P3,needs_verification,Bytez,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,bytez,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
54,P3,needs_verification,Coze,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,coze,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
55,P3,needs_verification,DGrid,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,dgrid,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
56,P3,needs_verification,Dify,unknown,unknown,free_tier,api_key,free_tier_listed_needs_check,unknown,unknown,unknown,unknown,unknown,unknown,free_tier_visible_needs_research,dify,20,medium,medium,unknown,unknown,unknown,20,60.0,"Possible LLM provider, but coding-agent value is unverified.",Could be paid-only after signup, region-locked, non-coding, or unstable,"Open provider page, find official docs/free quota, confirm no card/paid",2026-07-05,local
